num_examples,acc_before,acc_after
1,21.55,25.69                                                                                                                                                 
2,24.28,25.88                                                                                                                                                 
4,24.85,27.83                                                                                                                                                 
8,23.42,27.44                                                                                                                                                 
16,30.86,30.29                                                                                                                                                
32,40.27,36.92                                                                                                                                                
64,40.54,42.84                                                                                                                                                
128,45.09,44.65                                                                                                                                               
256,50.15,50.94                                                                                                                                               
512,52.38,51.3                                                                                                                                                
1024,57.09,56.92                                                                                                                                              
2048,59.93,58.37                                                                                                                                              
4096,63.45,68.64                                                                                                                                              
1,21.31,22.32                                                                                                                                                 
2,23.59,24.98                                                                                                                                                 
4,23.3,26.12                                                                                                                                                  
8,22.65,27.51                                                                                                                                                 
16,29.08,30.57                                                                                                                                                
32,36.94,37.46                                                                                                                                                
64,36.54,40.86                                                                                                                                                
128,41.97,45.73                                                                                                                                               
256,47.23,48.69                                                                                                                                               
512,49.93,50.12                                                                                                                                               
1024,57.31,57.15                                                                                                                                              
2048,61.16,61.09                                                                                                                                              
4096,67.84,69.35                                                                                                                                              
1,22.05,22.45                                                                                                                                                 
2,22.98,27.53                                                                                                                                                 
4,26.68,28.8                                                                                                                                                  
8,24.25,27.73                                                                                                                                                 
16,28.68,30.66                                                                                                                                                
32,35.55,36.73                                                                                                                                                
64,39.79,45.01                                                                                                                                                
128,42.96,46.84                                                                                                                                               
256,46.78,48.7                                                                                                                                                
512,50.32,49.72                                                                                                                                               
1024,55.31,56.08                                                                                                                                              
2048,59.79,57.54                                                                                                                                              
4096,64.48,68.36  