data_len,k,acc
32768,1,8588
32768,2,8588
32768,3,8665
32768,4,8677
32768,5,8684
32768,6,8687
32768,7,8697
16384,1,8490
16384,2,8490
16384,3,8603
16384,4,8620
16384,5,8634
16384,6,8646
16384,7,8646
8192,1,8371
8192,2,8371
8192,3,8471
8192,4,8484
8192,5,8503
8192,6,8510
8192,7,8517
4096,1,8133
4096,2,8133
4096,3,8292
4096,4,8313
4096,5,8326
4096,6,8336
4096,7,8348
2048,1,7843
2048,2,7843
2048,3,8060
2048,4,8085
2048,5,8105
2048,6,8122
2048,7,8129
1024,1,7800
1024,2,7800
1024,3,7915
1024,4,7939
1024,5,7947
1024,6,7952
1024,7,7955
512,1,7535
512,2,7535
512,3,7703
512,4,7720
512,5,7739
512,6,7750
512,7,7760
256,1,7231
256,2,7231
256,3,7417
256,4,7448
256,5,7443
256,6,7450
256,7,7433
128,1,6126
128,2,6126
128,3,6384
128,4,6460
128,5,6507
128,6,6505
128,7,6513
60,1,5398
60,2,5398
60,3,5628
60,4,5723
60,5,5699
60,6,5712
60,7,5185
30,1,4902
30,2,4902
30,3,4902
30,4,4902
30,5,4902
30,6,4902
30,7,4902